genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
AS09scLD_323.fna,34_1,0.050000000000000044,average,ANImf,34
AS28xzH2AC_27.fna,34_1,0.050000000000000044,average,ANImf,34
AS28xzH2AC_61.fna,34_1,0.050000000000000044,average,ANImf,34
AS28xzH2AC_79.fna,34_1,0.050000000000000044,average,ANImf,34
AS08sgBPME_124.fna,34_2,0.050000000000000044,average,ANImf,34
AS22ysBPME_46.fna,34_2,0.050000000000000044,average,ANImf,34
AS4FglBPSI_7.fna,34_2,0.050000000000000044,average,ANImf,34
AS4JglBPFI_19.fna,34_2,0.050000000000000044,average,ANImf,34
AS07pgkLD_142.fna,35_1,0.050000000000000044,average,ANImf,35
AS10tlH2TH_61.fna,35_1,0.050000000000000044,average,ANImf,35
AS05jafATM_20.fna,35_2,0.050000000000000044,average,ANImf,35
AS02xzSISU_71.fna,36_1,0.050000000000000044,average,ANImf,36
AS09scLD_159.fna,36_1,0.050000000000000044,average,ANImf,36
AS06rmzACSIP_180.fna,37_0,0.050000000000000044,average,ANImf,37
AS23ysBPME_249.fna,38_0,0.050000000000000044,average,ANImf,38
AS10tlH2TH_389.fna,39_1,0.050000000000000044,average,ANImf,39
AS18jrsBPVS_5.fna,39_1,0.050000000000000044,average,ANImf,39
AS19jrsBPTG_35.fna,40_0,0.050000000000000044,average,ANImf,40
AS06rmzACSIP_447.fna,41_1,0.050000000000000044,average,ANImf,41
AS10tlH2TH_340.fna,41_1,0.050000000000000044,average,ANImf,41
AS09scLD_295.fna,42_1,0.050000000000000044,average,ANImf,42
AS15tlH2ME_177.fna,42_1,0.050000000000000044,average,ANImf,42
AS08sgBPME_307.fna,42_2,0.050000000000000044,average,ANImf,42
AS06rmzACSIP_66.fna,43_1,0.050000000000000044,average,ANImf,43
AS17jrsBPGN_9.fna,43_1,0.050000000000000044,average,ANImf,43
AS27yjCOA_157.fna,43_1,0.050000000000000044,average,ANImf,43
AS29adLBPA_138.fna,43_1,0.050000000000000044,average,ANImf,43
AS3CglBPFA_18.fna,43_1,0.050000000000000044,average,ANImf,43
AS4BglBPHE_40.fna,43_1,0.050000000000000044,average,ANImf,43
AS4DglBPLU_30.fna,43_1,0.050000000000000044,average,ANImf,43
AS4EglBPAV_24.fna,43_1,0.050000000000000044,average,ANImf,43
AS27yjCOA_18.fna,44_1,0.050000000000000044,average,ANImf,44
AS27yjCOA_204.fna,44_2,0.050000000000000044,average,ANImf,44
AS3CglBPFA_17.fna,45_0,0.050000000000000044,average,ANImf,45
AS06rmzACSIP_595.fna,46_1,0.050000000000000044,average,ANImf,46
AS29adLBPA_20.fna,46_1,0.050000000000000044,average,ANImf,46
AS3CglBPFA_25.fna,46_1,0.050000000000000044,average,ANImf,46
AS06rmzACSIP_74.fna,47_0,0.050000000000000044,average,ANImf,47
AS29adLBPA_137.fna,48_0,0.050000000000000044,average,ANImf,48
AS02xzSISU_12.fna,49_1,0.050000000000000044,average,ANImf,49
AS07pgkLD_146.fna,49_1,0.050000000000000044,average,ANImf,49
AS09scLD_386.fna,49_1,0.050000000000000044,average,ANImf,49
AS13imBPTH_6.fna,49_1,0.050000000000000044,average,ANImf,49
AS15tlH2ME_134.fna,49_1,0.050000000000000044,average,ANImf,49
AS20ysBPTH_14.fna,49_1,0.050000000000000044,average,ANImf,49
AS25fmACSIPFO_104.fna,49_1,0.050000000000000044,average,ANImf,49
AS28xzH2AC_125.fna,49_1,0.050000000000000044,average,ANImf,49
AS28xzH2AC_18.fna,49_1,0.050000000000000044,average,ANImf,49
AS28xzH2AC_4.fna,49_1,0.050000000000000044,average,ANImf,49
AS31mySISU_70.fna,49_1,0.050000000000000044,average,ANImf,49
DTU-UNIPD927.fna,49_1,0.050000000000000044,average,ANImf,49
AS06rmzACSIP_486.fna,50_1,0.050000000000000044,average,ANImf,50
AS29adLBPA_62.fna,50_1,0.050000000000000044,average,ANImf,50
AS29adLBPA_51.fna,51_0,0.050000000000000044,average,ANImf,51
AS06rmzACSIP_125.fna,52_1,0.050000000000000044,average,ANImf,52
AS10tlH2TH_381.fna,52_2,0.050000000000000044,average,ANImf,52
AS22ysBPME_199.fna,53_0,0.050000000000000044,average,ANImf,53
AS29adLBPA_136.fna,54_0,0.050000000000000044,average,ANImf,54
AS05jafATM_53.fna,55_1,0.050000000000000044,average,ANImf,55
AS08sgBPME_107.fna,55_1,0.050000000000000044,average,ANImf,55
AS10tlH2TH_350.fna,55_1,0.050000000000000044,average,ANImf,55
AS18jrsBPVS_10.fna,55_1,0.050000000000000044,average,ANImf,55
AS21ysBPME_347.fna,55_1,0.050000000000000044,average,ANImf,55
AS22ysBPME_149.fna,55_1,0.050000000000000044,average,ANImf,55
AS23ysBPME_306.fna,55_1,0.050000000000000044,average,ANImf,55
AS24abBPME_48.fna,55_1,0.050000000000000044,average,ANImf,55
AS2HglBPFA_19.fna,55_1,0.050000000000000044,average,ANImf,55
AS31mySISU_23.fna,55_1,0.050000000000000044,average,ANImf,55
AS19jrsBPTG_32.fna,55_2,0.050000000000000044,average,ANImf,55
AS01afH2WH_2.fna,56_1,0.050000000000000044,average,ANImf,56
AS02xzSISU_13.fna,56_1,0.050000000000000044,average,ANImf,56
AS05jafATM_7.fna,56_1,0.050000000000000044,average,ANImf,56
AS07pgkLD_137.fna,56_1,0.050000000000000044,average,ANImf,56
AS08sgBPME_192.fna,56_1,0.050000000000000044,average,ANImf,56
AS09scLD_141.fna,56_1,0.050000000000000044,average,ANImf,56
AS15tlH2ME_160.fna,56_1,0.050000000000000044,average,ANImf,56
AS20ysBPTH_159.fna,56_1,0.050000000000000044,average,ANImf,56
AS21ysBPME_100.fna,56_1,0.050000000000000044,average,ANImf,56
AS22ysBPME_276.fna,56_1,0.050000000000000044,average,ANImf,56
AS23ysBPME_3.fna,56_1,0.050000000000000044,average,ANImf,56
AS24abBPME_15.fna,56_1,0.050000000000000044,average,ANImf,56
AS25fmACSIPFO_60.fna,56_1,0.050000000000000044,average,ANImf,56
AS31mySISU_10.fna,56_1,0.050000000000000044,average,ANImf,56
AS4GglBPBL_38.fna,56_1,0.050000000000000044,average,ANImf,56
AS4IglBPLE_30.fna,56_1,0.050000000000000044,average,ANImf,56
AS4JglBPFI_23.fna,56_1,0.050000000000000044,average,ANImf,56
AS05jafATM_68.fna,57_1,0.050000000000000044,average,ANImf,57
AS08sgBPME_471.fna,57_1,0.050000000000000044,average,ANImf,57
AS21ysBPME_69.fna,57_1,0.050000000000000044,average,ANImf,57
AS22ysBPME_129.fna,57_1,0.050000000000000044,average,ANImf,57
AS23ysBPME_211.fna,57_1,0.050000000000000044,average,ANImf,57
AS24abBPME_49.fna,57_1,0.050000000000000044,average,ANImf,57
AS31mySISU_113.fna,57_1,0.050000000000000044,average,ANImf,57
AS18jrsBPVS_2.fna,58_1,0.050000000000000044,average,ANImf,58
AS19jrsBPTG_18.fna,58_1,0.050000000000000044,average,ANImf,58
AS08sgBPME_88.fna,59_1,0.050000000000000044,average,ANImf,59
AS21ysBPME_11.fna,59_1,0.050000000000000044,average,ANImf,59
AS22ysBPME_253.fna,59_1,0.050000000000000044,average,ANImf,59
AS06rmzACSIP_392.fna,59_2,0.050000000000000044,average,ANImf,59
AS10tlH2TH_346.fna,59_2,0.050000000000000044,average,ANImf,59
AS18jrsBPVS_7.fna,59_2,0.050000000000000044,average,ANImf,59
AS19jrsBPTG_12.fna,59_2,0.050000000000000044,average,ANImf,59
AS06rmzACSIP_62.fna,60_0,0.050000000000000044,average,ANImf,60
AS27yjCOA_146.fna,61_0,0.050000000000000044,average,ANImf,61
AS06rmzACSIP_347.fna,62_1,0.050000000000000044,average,ANImf,62
AS29adLBPA_3.fna,62_1,0.050000000000000044,average,ANImf,62
AS29adLBPA_219.fna,63_0,0.050000000000000044,average,ANImf,63
AS10tlH2TH_29.fna,64_1,0.050000000000000044,average,ANImf,64
AS21ysBPME_310.fna,64_1,0.050000000000000044,average,ANImf,64
AS22ysBPME_259.fna,64_1,0.050000000000000044,average,ANImf,64
AS06rmzACSIP_124.fna,65_0,0.050000000000000044,average,ANImf,65
AS09scLD_175.fna,66_0,0.050000000000000044,average,ANImf,66
AS4AglBPMA_3.fna,67_0,0.050000000000000044,average,ANImf,67
AS04akNAM_127.fna,68_0,0.050000000000000044,average,ANImf,68
AS04akNAM_6.fna,69_0,0.050000000000000044,average,ANImf,69
AS31mySISU_20.fna,70_0,0.050000000000000044,average,ANImf,70
AS07pgkLD_161.fna,71_1,0.050000000000000044,average,ANImf,71
AS09scLD_143.fna,71_1,0.050000000000000044,average,ANImf,71
AS15tlH2ME_59.fna,71_1,0.050000000000000044,average,ANImf,71
AS20ysBPTH_188.fna,71_1,0.050000000000000044,average,ANImf,71
AS23ysBPME_207.fna,71_1,0.050000000000000044,average,ANImf,71
AS25fmACSIPFO_80.fna,71_1,0.050000000000000044,average,ANImf,71
AS28xzH2AC_10.fna,71_1,0.050000000000000044,average,ANImf,71
AS28xzH2AC_100.fna,71_1,0.050000000000000044,average,ANImf,71
AS31mySISU_82.fna,71_1,0.050000000000000044,average,ANImf,71
AS4FglBPSI_4.fna,71_1,0.050000000000000044,average,ANImf,71
AS4GglBPBL_25.fna,71_1,0.050000000000000044,average,ANImf,71
AS4IglBPLE_12.fna,71_1,0.050000000000000044,average,ANImf,71
AS4JglBPFI_25.fna,71_1,0.050000000000000044,average,ANImf,71
DTU-UNIPD951.fna,71_1,0.050000000000000044,average,ANImf,71
DTU-pt_130.fna,71_1,0.050000000000000044,average,ANImf,71
AS02xzSISU_7.fna,72_1,0.050000000000000044,average,ANImf,72
AS28xzH2AC_39.fna,72_1,0.050000000000000044,average,ANImf,72
AS28xzH2AC_58.fna,72_1,0.050000000000000044,average,ANImf,72
AS28xzH2AC_66.fna,72_1,0.050000000000000044,average,ANImf,72
AS27yjCOA_184.fna,73_0,0.050000000000000044,average,ANImf,73
AS27yjCOA_28.fna,74_0,0.050000000000000044,average,ANImf,74
AS29adLBPA_217.fna,75_1,0.050000000000000044,average,ANImf,75
AS4AglBPMA_26.fna,75_1,0.050000000000000044,average,ANImf,75
AS4DglBPLU_16.fna,75_1,0.050000000000000044,average,ANImf,75
AS06rmzACSIP_7.fna,76_1,0.050000000000000044,average,ANImf,76
AS29adLBPA_186.fna,76_1,0.050000000000000044,average,ANImf,76
AS29adLBPA_53.fna,77_0,0.050000000000000044,average,ANImf,77
AS06rmzACSIP_587.fna,78_1,0.050000000000000044,average,ANImf,78
AS29adLBPA_218.fna,78_1,0.050000000000000044,average,ANImf,78
AS29adLBPA_64.fna,79_0,0.050000000000000044,average,ANImf,79
AS07pgkLD_77.fna,80_0,0.050000000000000044,average,ANImf,80
AS29adLBPA_180.fna,81_0,0.050000000000000044,average,ANImf,81
AS4GglBPBL_27.fna,82_0,0.050000000000000044,average,ANImf,82
AS06rmzACSIP_267.fna,83_1,0.050000000000000044,average,ANImf,83
AS29adLBPA_182.fna,83_1,0.050000000000000044,average,ANImf,83
AS06rmzACSIP_159.fna,84_1,0.050000000000000044,average,ANImf,84
AS22ysBPME_96.fna,84_1,0.050000000000000044,average,ANImf,84
AS4DglBPLU_17.fna,85_0,0.050000000000000044,average,ANImf,85
AS06rmzACSIP_331.fna,86_0,0.050000000000000044,average,ANImf,86
AS27yjCOA_33.fna,87_0,0.050000000000000044,average,ANImf,87
AS04akNAM_41.fna,88_0,0.050000000000000044,average,ANImf,88
AS25fmACSIPFO_91.fna,89_0,0.050000000000000044,average,ANImf,89
AS08sgBPME_93.fna,90_1,0.050000000000000044,average,ANImf,90
AS10tlH2TH_166.fna,90_1,0.050000000000000044,average,ANImf,90
AS21ysBPME_334.fna,90_1,0.050000000000000044,average,ANImf,90
AS22ysBPME_172.fna,90_1,0.050000000000000044,average,ANImf,90
AS23ysBPME_352.fna,90_1,0.050000000000000044,average,ANImf,90
AS10tlH2TH_294.fna,91_0,0.050000000000000044,average,ANImf,91
AS06rmzACSIP_634.fna,92_0,0.050000000000000044,average,ANImf,92
AS10tlH2TH_92.fna,93_0,0.050000000000000044,average,ANImf,93
AS06rmzACSIP_383.fna,94_0,0.050000000000000044,average,ANImf,94
AS06rmzACSIP_605.fna,95_0,0.050000000000000044,average,ANImf,95
AS27yjCOA_203.fna,96_1,0.050000000000000044,average,ANImf,96
AS4AglBPMA_24.fna,96_1,0.050000000000000044,average,ANImf,96
AS4BglBPHE_4.fna,96_1,0.050000000000000044,average,ANImf,96
AS4DglBPLU_33.fna,96_1,0.050000000000000044,average,ANImf,96
AS4EglBPAV_2.fna,96_1,0.050000000000000044,average,ANImf,96
AS27yjCOA_66.fna,97_0,0.050000000000000044,average,ANImf,97
AS06rmzACSIP_192.fna,98_0,0.050000000000000044,average,ANImf,98
AS06rmzACSIP_498.fna,99_0,0.050000000000000044,average,ANImf,99
AS08sgBPME_148.fna,100_1,0.050000000000000044,average,ANImf,100
AS23ysBPME_9.fna,100_1,0.050000000000000044,average,ANImf,100
AS05jafATM_70.fna,101_0,0.050000000000000044,average,ANImf,101
AS25fmACSIPFO_32.fna,102_1,0.050000000000000044,average,ANImf,102
AS28xzH2AC_32.fna,102_1,0.050000000000000044,average,ANImf,102
AS28xzH2AC_49.fna,102_1,0.050000000000000044,average,ANImf,102
AS27yjCOA_139.fna,103_0,0.050000000000000044,average,ANImf,103
AS27yjCOA_192.fna,104_0,0.050000000000000044,average,ANImf,104
AS10tlH2TH_235.fna,105_0,0.050000000000000044,average,ANImf,105
AS15tlH2ME_24.fna,106_0,0.050000000000000044,average,ANImf,106
AS06rmzACSIP_232.fna,107_0,0.050000000000000044,average,ANImf,107
AS06rmzACSIP_60.fna,108_1,0.050000000000000044,average,ANImf,108
AS10tlH2TH_148.fna,108_1,0.050000000000000044,average,ANImf,108
AS27yjCOA_57.fna,109_0,0.050000000000000044,average,ANImf,109
AS27yjCOA_211.fna,110_1,0.050000000000000044,average,ANImf,110
AS4AglBPMA_15.fna,110_1,0.050000000000000044,average,ANImf,110
AS4EglBPAV_12.fna,110_1,0.050000000000000044,average,ANImf,110
AS27yjCOA_130.fna,111_0,0.050000000000000044,average,ANImf,111
AS4EglBPAV_13.fna,112_0,0.050000000000000044,average,ANImf,112
AS27yjCOA_207.fna,113_0,0.050000000000000044,average,ANImf,113
AS29adLBPA_207.fna,114_0,0.050000000000000044,average,ANImf,114
AS16jrsBPLL_1.fna,115_1,0.050000000000000044,average,ANImf,115
AS4BglBPHE_29.fna,115_1,0.050000000000000044,average,ANImf,115
AS06rmzACSIP_450.fna,116_0,0.050000000000000044,average,ANImf,116
AS10tlH2TH_214.fna,117_0,0.050000000000000044,average,ANImf,117
AS29adLBPA_201.fna,118_0,0.050000000000000044,average,ANImf,118
AS06rmzACSIP_362.fna,119_1,0.050000000000000044,average,ANImf,119
AS10tlH2TH_239.fna,119_1,0.050000000000000044,average,ANImf,119
AS17jrsBPGN_13.fna,119_1,0.050000000000000044,average,ANImf,119
AS06rmzACSIP_53.fna,120_1,0.050000000000000044,average,ANImf,120
AS10tlH2TH_242.fna,120_1,0.050000000000000044,average,ANImf,120
AS06rmzACSIP_304.fna,121_0,0.050000000000000044,average,ANImf,121
AS10tlH2TH_133.fna,122_0,0.050000000000000044,average,ANImf,122
AS06rmzACSIP_346.fna,123_1,0.050000000000000044,average,ANImf,123
AS3CglBPFA_3.fna,123_1,0.050000000000000044,average,ANImf,123
AS27yjCOA_71.fna,124_0,0.050000000000000044,average,ANImf,124
AS29adLBPA_44.fna,125_0,0.050000000000000044,average,ANImf,125
AS09scLD_249.fna,126_1,0.050000000000000044,average,ANImf,126
AS15tlH2ME_118.fna,126_1,0.050000000000000044,average,ANImf,126
AS06rmzACSIP_172.fna,127_1,0.050000000000000044,average,ANImf,127
AS08sgBPME_373.fna,127_1,0.050000000000000044,average,ANImf,127
AS10tlH2TH_295.fna,127_1,0.050000000000000044,average,ANImf,127
AS09scLD_222.fna,128_1,0.050000000000000044,average,ANImf,128
AS15tlH2ME_197.fna,128_1,0.050000000000000044,average,ANImf,128
AS06rmzACSIP_166.fna,129_0,0.050000000000000044,average,ANImf,129
AS29adLBPA_25.fna,130_0,0.050000000000000044,average,ANImf,130
AS05jafATM_106.fna,131_1,0.050000000000000044,average,ANImf,131
AS18jrsBPVS_17.fna,131_1,0.050000000000000044,average,ANImf,131
AS18jrsBPVS_15.fna,132_1,0.050000000000000044,average,ANImf,132
AS19jrsBPTG_31.fna,132_1,0.050000000000000044,average,ANImf,132
AS06rmzACSIP_517.fna,133_0,0.050000000000000044,average,ANImf,133
AS10tlH2TH_47.fna,134_1,0.050000000000000044,average,ANImf,134
AS15tlH2ME_173.fna,134_1,0.050000000000000044,average,ANImf,134
AS10tlH2TH_173.fna,135_0,0.050000000000000044,average,ANImf,135
AS06rmzACSIP_552.fna,136_1,0.050000000000000044,average,ANImf,136
AS10tlH2TH_236.fna,136_1,0.050000000000000044,average,ANImf,136
AS29adLBPA_16.fna,136_1,0.050000000000000044,average,ANImf,136
AS26fmACSIPLY_11.fna,137_0,0.050000000000000044,average,ANImf,137
AS26fmACSIPLY_24.fna,138_0,0.050000000000000044,average,ANImf,138
AS06rmzACSIP_106.fna,139_0,0.050000000000000044,average,ANImf,139
AS4IglBPLE_51.fna,140_0,0.050000000000000044,average,ANImf,140
AS08sgBPME_214.fna,141_1,0.050000000000000044,average,ANImf,141
AS21ysBPME_306.fna,141_1,0.050000000000000044,average,ANImf,141
AS08sgBPME_286.fna,142_0,0.050000000000000044,average,ANImf,142
AS29adLBPA_229.fna,143_0,0.050000000000000044,average,ANImf,143
AS29adLBPA_95.fna,144_0,0.050000000000000044,average,ANImf,144
AS07pgkLD_22.fna,145_0,0.050000000000000044,average,ANImf,145
AS07pgkLD_81.fna,146_0,0.050000000000000044,average,ANImf,146
AS07pgkLD_167.fna,147_1,0.050000000000000044,average,ANImf,147
AS15tlH2ME_159.fna,147_1,0.050000000000000044,average,ANImf,147
AS07pgkLD_212.fna,148_1,0.050000000000000044,average,ANImf,148
AS09scLD_44.fna,148_1,0.050000000000000044,average,ANImf,148
AS08sgBPME_421.fna,149_0,0.050000000000000044,average,ANImf,149
AS08sgBPME_135.fna,150_1,0.050000000000000044,average,ANImf,150
AS10tlH2TH_426.fna,150_1,0.050000000000000044,average,ANImf,150
AS15tlH2ME_188.fna,150_1,0.050000000000000044,average,ANImf,150
AS07pgkLD_72.fna,151_0,0.050000000000000044,average,ANImf,151
AS08sgBPME_178.fna,152_1,0.050000000000000044,average,ANImf,152
AS21ysBPME_53.fna,152_1,0.050000000000000044,average,ANImf,152
AS22ysBPME_8.fna,152_1,0.050000000000000044,average,ANImf,152
AS23ysBPME_130.fna,152_1,0.050000000000000044,average,ANImf,152
AS24abBPME_27.fna,152_1,0.050000000000000044,average,ANImf,152
AS08sgBPME_402.fna,153_1,0.050000000000000044,average,ANImf,153
AS09scLD_329.fna,153_1,0.050000000000000044,average,ANImf,153
AS21ysBPME_353.fna,153_1,0.050000000000000044,average,ANImf,153
AS22ysBPME_217.fna,153_1,0.050000000000000044,average,ANImf,153
AS23ysBPME_260.fna,153_1,0.050000000000000044,average,ANImf,153
AS25fmACSIPFO_74.fna,153_1,0.050000000000000044,average,ANImf,153
AS4IglBPLE_1.fna,153_1,0.050000000000000044,average,ANImf,153
AS08sgBPME_8.fna,154_0,0.050000000000000044,average,ANImf,154
AS06rmzACSIP_393.fna,155_0,0.050000000000000044,average,ANImf,155
AS3CglBPFA_13.fna,156_0,0.050000000000000044,average,ANImf,156
DTU-UNIPD965.fna,157_0,0.050000000000000044,average,ANImf,157
DTU-pt_148.fna,158_0,0.050000000000000044,average,ANImf,158
AS05jafATM_50.fna,159_1,0.050000000000000044,average,ANImf,159
AS08sgBPME_297.fna,159_1,0.050000000000000044,average,ANImf,159
AS22ysBPME_74.fna,159_1,0.050000000000000044,average,ANImf,159
AS23ysBPME_20.fna,159_1,0.050000000000000044,average,ANImf,159
AS31mySISU_41.fna,159_1,0.050000000000000044,average,ANImf,159
AS06rmzACSIP_208.fna,160_1,0.050000000000000044,average,ANImf,160
AS29adLBPA_225.fna,160_1,0.050000000000000044,average,ANImf,160
AS01afH2WH_36.fna,161_1,0.050000000000000044,average,ANImf,161
AS02xzSISU_28.fna,161_1,0.050000000000000044,average,ANImf,161
AS04akNAM_4.fna,161_1,0.050000000000000044,average,ANImf,161
AS07pgkLD_83.fna,161_1,0.050000000000000044,average,ANImf,161
AS08sgBPME_366.fna,161_1,0.050000000000000044,average,ANImf,161
AS09scLD_343.fna,161_1,0.050000000000000044,average,ANImf,161
AS15tlH2ME_54.fna,161_1,0.050000000000000044,average,ANImf,161
AS20ysBPTH_128.fna,161_1,0.050000000000000044,average,ANImf,161
AS22ysBPME_252.fna,161_1,0.050000000000000044,average,ANImf,161
AS25fmACSIPFO_3.fna,161_1,0.050000000000000044,average,ANImf,161
AS28xzH2AC_34.fna,161_1,0.050000000000000044,average,ANImf,161
AS28xzH2AC_50.fna,161_1,0.050000000000000044,average,ANImf,161
AS28xzH2AC_9.fna,161_1,0.050000000000000044,average,ANImf,161
AS31mySISU_14.fna,161_1,0.050000000000000044,average,ANImf,161
AS4IglBPLE_33.fna,161_1,0.050000000000000044,average,ANImf,161
AS29adLBPA_122.fna,162_0,0.050000000000000044,average,ANImf,162
AS06rmzACSIP_249.fna,163_1,0.050000000000000044,average,ANImf,163
AS3CglBPFA_10.fna,163_1,0.050000000000000044,average,ANImf,163
AS06rmzACSIP_445.fna,164_0,0.050000000000000044,average,ANImf,164
AS4BglBPHE_11.fna,165_0,0.050000000000000044,average,ANImf,165
AS29adLBPA_36.fna,166_0,0.050000000000000044,average,ANImf,166
AS29adLBPA_85.fna,167_0,0.050000000000000044,average,ANImf,167
AS29adLBPA_121.fna,168_0,0.050000000000000044,average,ANImf,168
AS21ysBPME_342.fna,169_0,0.050000000000000044,average,ANImf,169
AS29adLBPA_153.fna,170_0,0.050000000000000044,average,ANImf,170
AS29adLBPA_215.fna,171_0,0.050000000000000044,average,ANImf,171
AS06rmzACSIP_582.fna,172_0,0.050000000000000044,average,ANImf,172
AS29adLBPA_72.fna,173_0,0.050000000000000044,average,ANImf,173
AS29adLBPA_193.fna,174_0,0.050000000000000044,average,ANImf,174
AS10tlH2TH_373.fna,175_0,0.050000000000000044,average,ANImf,175
AS29adLBPA_118.fna,176_0,0.050000000000000044,average,ANImf,176
AS29adLBPA_212.fna,177_0,0.050000000000000044,average,ANImf,177
AS29adLBPA_57.fna,178_0,0.050000000000000044,average,ANImf,178
AS06rmzACSIP_286.fna,179_0,0.050000000000000044,average,ANImf,179
AS06rmzACSIP_150.fna,180_1,0.050000000000000044,average,ANImf,180
AS29adLBPA_37.fna,180_1,0.050000000000000044,average,ANImf,180
AS21ysBPME_157.fna,181_0,0.050000000000000044,average,ANImf,181
AS06rmzACSIP_581.fna,182_1,0.050000000000000044,average,ANImf,182
AS29adLBPA_149.fna,182_1,0.050000000000000044,average,ANImf,182
AS06rmzACSIP_566.fna,183_1,0.050000000000000044,average,ANImf,183
AS29adLBPA_125.fna,183_1,0.050000000000000044,average,ANImf,183
AS4BglBPHE_22.fna,183_1,0.050000000000000044,average,ANImf,183
AS4DglBPLU_31.fna,183_1,0.050000000000000044,average,ANImf,183
AS4EglBPAV_17.fna,183_1,0.050000000000000044,average,ANImf,183
AS06rmzACSIP_90.fna,184_1,0.050000000000000044,average,ANImf,184
AS10tlH2TH_186.fna,184_1,0.050000000000000044,average,ANImf,184
AS29adLBPA_176.fna,185_0,0.050000000000000044,average,ANImf,185
AS4AglBPMA_22.fna,186_1,0.050000000000000044,average,ANImf,186
AS4DglBPLU_32.fna,186_1,0.050000000000000044,average,ANImf,186
AS4EglBPAV_20.fna,186_1,0.050000000000000044,average,ANImf,186
AS27yjCOA_107.fna,187_0,0.050000000000000044,average,ANImf,187
AS09scLD_314.fna,188_1,0.050000000000000044,average,ANImf,188
AS10tlH2TH_74.fna,188_1,0.050000000000000044,average,ANImf,188
AS15tlH2ME_27.fna,188_1,0.050000000000000044,average,ANImf,188
AS09scLD_275.fna,189_1,0.050000000000000044,average,ANImf,189
AS10tlH2TH_219.fna,189_1,0.050000000000000044,average,ANImf,189
AS06rmzACSIP_317.fna,189_2,0.050000000000000044,average,ANImf,189
